X,Y,Z,Label
4.439986758792042187e-01,1.185760541562315140e+00,-1.039725585577675471e-01,4.600564360021798804e-01
8.972409706619084435e-01,2.012739131218665989e-02,-1.441541210495324465e+00,2.028111997578706305e+00
8.240493010793996653e-01,9.516523917144454892e-01,-4.334819072698976594e-01,9.685220019742846187e-01
4.105106778010715884e-01,1.417540781882097312e+00,-8.814420909263032122e-02,4.230140339183325326e-01
-6.590361877872426000e-01,8.795086404818119874e-02,2.478887694051774560e-01,-7.195365646012067407e-01
9.808968741398543800e-01,1.759042966047460244e+00,-8.054715385794081195e-01,1.375019621436616601e+00
-5.548866216499575010e-01,1.040162833271346177e+00,1.680740194501094686e-01,-5.882266757615309816e-01
-5.233527972069080825e-01,6.132209665143584232e-02,-1.852116101042401874e+00,3.692373543395430335e+00
-9.419279384014637158e-01,4.488272238416803894e-01,-1.335815066455881883e+00,4.369918566399592308e+00
-8.905431613879823960e-01,1.907351392854625960e+00,5.451012445553429231e-01,-1.098537804511562799e+00
3.821751135798131527e-01,1.164639466104110621e+00,-1.924089921252394753e+00,2.749443709526105284e+00
2.689745659118071841e-01,2.149451355376090778e-01,-3.685272004093009812e-02,2.723282028653739584e-01
5.982415711504487366e-01,5.750890045611229962e-01,-1.986841930003859780e-01,6.413048797483188457e-01
-7.640458897992972176e-01,9.134072517209683717e-01,-1.645161900828621571e+00,4.011153816758208812e+00
7.841326344839149032e-01,4.190013853546092903e-02,1.620593273841503201e+00,-4.042889904661313594e+00
6.813621499433661910e-01,8.232310272275176199e-01,1.731946460217244077e+00,-3.891214676820338614e+00
9.818994742890730931e-01,9.789172708693962832e-01,1.189402804601309649e+00,-4.521835073787031867e+00
6.724413276919511025e-03,4.873557505624643849e-01,-1.999977390877454297e+00,3.134868189634720803e+00
4.969036014086020692e-01,1.177278000583973139e+00,-1.867805744914817545e+00,2.621565615991368059e+00
-3.388456437251755604e-01,1.506480239184353698e+00,-1.940841979148715257e+00,3.487282340013553750e+00
-9.797639934373341131e-01,4.716684482112709631e-01,-1.200156231888311442e+00,4.510871603495330007e+00
3.165494049663826748e-01,1.240999800559975386e+00,-1.948576024478496427e+00,2.819503042805187487e+00
-3.551256338522179035e-01,1.279244485927483188e+00,6.518141643361596849e-02,-3.630484576733489788e-01
4.773772359260349818e-01,1.897080602257682047e+00,-1.878698454886327252e+00,2.643925198017373468e+00
4.404376777530467080e-01,1.556552334592887554e+00,1.897783187643599989e+00,-3.597678778132515909e+00
9.683977788939938103e-01,1.696690539580012036e+00,-7.505892106720730705e-01,1.318724558055988760e+00
2.179597039665851499e-01,9.808398168725502853e-01,1.975957769294757194e+00,-3.361316076608070524e+00
-8.670812671563769003e-01,3.706971739587656689e-01,-1.498166715213383071e+00,4.190905809248105740e+00
2.044634843941256774e-01,1.991630585919270002e+00,-2.112580810943165410e-02,2.059155813098738075e-01
-7.203399249526364345e-01,2.587115220773992252e-01,3.063787831105293513e-01,-8.042922671921279854e-01
-7.971629376584323801e-01,9.429146387085307612e-01,1.603764234468868066e+00,-2.219011078023148453e+00
5.286429129976109031e-01,1.361861984842132056e-01,-1.848844314664002564e+00,2.584591632280079931e+00
-4.016092743323093628e-01,1.887701714701639055e+00,8.418888914237565579e-02,-4.132733825125323168e-01
6.011782794853882672e-01,1.929849881696879210e+00,-2.008850669177878467e-01,6.449747730656570921e-01
9.843605558422520163e-01,1.438778124007947135e+00,1.176165536078804585e+00,-4.535299283344874866e+00
8.951147153118407251e-01,6.999856872603378299e-01,-5.541641036971088896e-01,1.108688440244876894e+00
8.706279220483758019e-01,5.087648022352486699e-01,-5.080579085403167383e-01,1.056477297010792737e+00
8.921475366250873895e-01,5.306066490740948272e-01,-5.482558546103907249e-01,1.102076956609884473e+00
-8.627252285971952483e-01,2.545880508401494602e-01,-1.505672997046428430e+00,4.182227110518390134e+00
9.898186017992532948e-01,1.051617906153445858e+00,-1.142334590076240275e+00,1.713615947811006901e+00
-9.697261454668977265e-01,2.836345514029550152e-01,7.558049902272507836e-01,-1.324106842334402012e+00
-5.592326206815322331e-01,6.334613331069125497e-01,1.709892184261621040e-01,-5.934598540646747189e-01
9.577178816914380111e-01,1.253412951918209783e+00,-1.287708983329448165e+00,1.862630139735780954e+00
8.431873773110479808e-01,1.455087219181499636e+00,1.537619797573821057e+00,-4.144777282696205489e+00
9.999995554344427440e-01,4.854540924412242830e-02,-1.000942937387597986e+00,1.571739264322227214e+00
9.992996651698135002e-01,8.602319687534798476e-01,-1.037418968338245318e+00,1.608224032849867591e+00
-4.004543151107272658e-01,1.304249189684278054e+00,1.916316725542646759e+00,-2.729580055445735898e+00
3.482415687968929974e-01,1.706491952317025662e+00,1.937404827042126243e+00,-3.497287251683635301e+00
-9.857953935823573488e-01,9.506495644241648169e-01,1.167950712983914174e+00,-1.739546810392611942e+00
-9.592951664501520037e-01,1.938411743435370482e+00,7.175946466063805040e-01,-1.284495722310220245e+00
6.143713551439828890e-01,5.312650950828945451e-01,-2.109829925923357719e-01,6.615889747516199293e-01
-5.469085315382271606e-01,2.701741325343776090e-02,1.628076337360092607e-01,-5.786671027449186155e-01
-9.940027738874636087e-01,9.675057294034723476e-01,-1.109354860449949465e+00,4.602814985556948457e+00
5.720857830726984172e-01,5.122275900400359294e-01,1.820193792226018736e+00,-3.750639297035792463e+00
-3.874101698906997071e-01,1.647435344046338734e+00,1.921907457538585717e+00,-2.743771933025090703e+00
5.046848872804136216e-02,4.655453443622241672e-01,1.998725653843690608e+00,-3.192082591359842958e+00
9.918466828478935682e-01,6.212584365826125943e-01,-8.725631225914959321e-01,1.443011971456592324e+00
-7.286993362995587420e-01,1.582454862038224608e+00,1.684833758861654429e+00,-2.325171867119793845e+00
-3.122053029732115292e-01,1.430286504050719998e+00,4.998534285232991703e-02,-3.175134854992380240e-01
-6.689985537594150822e-01,1.116102473314525056e+00,1.743263704931036440e+00,-2.408732047839976076e+00
7.247968827727327423e-02,1.409896123845518989e+00,1.997369888650760039e+00,-3.214135952009711250e+00
5.059949818266056276e-01,8.372737271400529924e-01,1.862536421472330117e+00,-3.672127782522537576e+00
